id,treat,code_pay,role,group,hidden_number,report1,report2,report3,belief1,belief2,belief3,belief_observed,observed,start_time,chosen_card,gender,ethnicity,race,age,education,state,income,q1,q2,q3
1,EXO3,99e4fpqr6aaq1xxk,P1,5978369555,9,9,,,,20,30,Obseerved,,2018-08-03 19:01:55.130833+00:00,28,Male,Non hispanic,White,33,College diploma,50,"$60,000 - $69,999",telephone game,3,make the instructions easier
2,EXO3,81431ucc6aaq1xxk,P1,7424388692,14,14,,,,14,30,Obseerved,,2018-08-03 19:18:34.816213+00:00,66,Male,Non hispanic,White,35,High school or equivalent,18,"$30,000 - $39,999",Studying how people make decisions.,3,"I didn't have any issues, so I'm pleased with it as is."
3,EXO3,yls4692z6aaq1xxk,P1,9590606293,11,11,,,,23,20,Obseerved,,2018-08-03 19:37:08.938446+00:00,44,Female,Non hispanic,White,27,Masters degree,5,"$100,000 - $119,999",this is good study about the game,2,use the more  technical and more
4,EXO3,2i7k6ziz6aaq1xxk,P1,2168724444,10,10,,,,10,10,Obseerved,,2018-08-03 20:40:08.992910+00:00,91,Female,Non hispanic,White,51,Some college,11,"< $10,000",If all participants would report honestly given the chance to earn a higher bonus,2,It was easy to understand and went very smoothly. Thank you for the opportunity to participate in this study
5,EXO3,wxozrdlg6aaq1xxk,P1,7707347185,11,30,,,,30,30,Obseerved,,2018-08-03 20:40:44.735747+00:00,58,Male,Non hispanic,White,28,Some college,38,"$10,000 - $19,999",To see if people will collaborate in lying when they risk no consequence.,2,You couldn't. Everything went perfectly.
6,EXO3,yyoej0qp6aaq1xxk,P1,1342853332,9,30,,,,30,30,Obseerved,,2018-08-03 21:04:33.807290+00:00,31,Female,Non hispanic,Black/African American,23,Masters degree,5,"$100,000 - $119,999",I dont know to be honest.,4,Bigger font if possible.
7,EXO3,ejwvs9cx6aaq1xxk,P1,7261234010,21,21,,,,21,21,Obseerved,,2018-08-03 21:19:43.938035+00:00,40,Female,Non hispanic,White,28,Some college,47,"< $10,000",Get everyone to send and report the same number.,3,na
8,EXO3,szfyst586aaq1xxk,P1,3468430154,13,30,,,,30,30,Obseerved,,2018-08-03 21:36:30.740434+00:00,70,Male,Non hispanic,White,30,Some college,1,"$30,000 - $39,999",report a number,1,you could not
9,EXO3,ee39sxkm6aaq1xxk,P1,3541440800,12,12,,,,7,8,Obseerved,,2018-08-03 22:21:27.691567+00:00,105,Female,Non hispanic,White,31,Some college,32,"$50,000 - $59,999",make money from other people,4,none
10,EXO3,vx5734b36aaq1xxk,P1,6649932562,5,5,,,,5,5,Obseerved,,2018-08-03 22:31:57.788265+00:00,4,Male,Non hispanic,White,26,High school or equivalent,3,"$20,000 - $29,999",How honest people are,1,it was good as is
11,EXO3,soyo63mo6aaq1xxk,P1,3695604066,20,20,,,,10,10,Obseerved,,2018-08-03 22:52:00.339048+00:00,47,Female,Non hispanic,White,61,Some college,38,"$50,000 - $59,999",Trying to second and third guess other people to figure out what direction they will go based on odds.,3,Let me know what everybody else decided.
12,EXO3,ckcy2xt66aaq1xxk,P1,3694339196,7,30,,,,30,30,Obseerved,,2018-08-03 23:25:35.935171+00:00,55,Female,Non hispanic,White,39,Some college,6,"$30,000 - $39,999",Not sure.,2,Higher pay
13,EXO3,9hytlhta6aaq1xxk,P1,7456289782,9,9,,,,7,7,Obseerved,,2018-08-04 00:15:36.534138+00:00,95,Female,Non hispanic,White,50,Masters degree,18,"$60,000 - $69,999",Following rules of chance,4,The directions are extremely confusing.
14,EXO3,18f8lgzg6aaq1xxk,P1,4736057980,10,10,,,,10,10,Obseerved,,2018-08-04 00:30:55.363046+00:00,43,Male,Hispanic,Black/African American,29,Some college,12,"$30,000 - $39,999",see how well people can follow complex directions,3,Made the game less confusing
15,EXO3,sxfftv7s6aaq1xxk,P1,8391276642,12,12,,,,12,12,Obseerved,,2018-08-04 00:31:34.812738+00:00,54,Female,Non hispanic,White,33,College diploma,10,"$50,000 - $59,999","See how honest each of the participants are, knowing the other participants will not know if we are being honest. Does money lead to greed?",1,Not at all.
16,EXO3,ui2w2zy66aaq1xxk,P1,1277023186,14,14,,,,14,14,Obseerved,,2018-08-04 00:41:56.499274+00:00,66,Male,Non hispanic,White,24,College diploma,41,"$10,000 - $19,999",To try and get the most accurate number possible,1,The instructions could have been simpler
17,EXO3,42yza7qh6aaq1xxk,P1,8045217504,8,8,,,,8,30,Obseerved,,2018-08-04 00:42:19.467533+00:00,118,Male,Non hispanic,White,37,Masters degree,3,"$10,000 - $19,999",to see if people just send 30 all the time.,3,"not sure, it probably has to be weird to test whatever is being tested."
18,EXO3,x5m234xy6aaq1xxk,P1,9734671637,9,9,,,,30,30,Obseerved,,2018-08-04 00:43:41.031128+00:00,104,Female,Non hispanic,White,39,College diploma,25,"< $10,000","Honestly it's a little overly-complicated, but I guess it's to earn as much money as possible. That would mean saying 30.  I wasn't sure if I should say that to P2 or not.",4,Made it less complicated.  Plus I think one of the graphics didn't load for me.
19,EXO3,npef5g2l6aaq1xxk,P1,1495965046,9,9,,,,9,9,Obseerved,,2018-08-04 00:47:12.448951+00:00,57,Female,Non hispanic,White,33,College diploma,35,"$20,000 - $29,999","You are trying to pass along correct numbers to other players, although the bonus is based on what number is sent, not the correct number.",1,n/a it was fine
20,EXO3,8k36ben26aaq1xxk,P1,3495941446,10,10,,,,13,15,Obseerved,,2018-08-04 00:48:45.272336+00:00,68,Female,Non hispanic,White,37,College diploma,35,"$20,000 - $29,999","I think the goal of this study is to see if I would report honestly, and if I believe others would report honestly as well or be deceptive in order to earn a higher bonus.",2,I thought everything was fine. Instructions were clear and the survey was set up well.
21,EXO3,nsjtr1906aaq1xxk,P1,7534986117,11,11,,,,11,11,Obseerved,,2018-08-04 01:15:15.097810+00:00,92,Male,Non hispanic,White,42,College diploma,18,"$30,000 - $39,999",To see if individuals will report honestly or will they fabricate the report to maximize their gain.,3,All was fine.
22,EXO3,dp3ro84z6aaq1xxk,P1,9764562332,5,20,,,,20,20,Obseerved,,2018-08-04 01:36:32.212584+00:00,119,Male,Non hispanic,White,39,College diploma,38,"$50,000 - $59,999",whether or not people are honest or biased when it comes to strategy regarding their payouts.,3,You could debrief us afterwords
23,EXO3,rb4j01kt6aaq1xxk,P1,3321639851,10,10,,,,10,10,Obseerved,,2018-08-04 01:56:40.606194+00:00,65,Female,Hispanic,Native Hawaiian/Pacific Islander,32,College diploma,5,"$10,000 - $19,999",How messages are related between people,1,Everything was great!
24,EXO3,jorborz66aaq1xxk,P1,2324538234,8,30,,,,30,30,Unobserved,,2018-08-04 02:17:22.148308+00:00,118,Female,Non hispanic,White,34,College diploma,50,"$50,000 - $59,999",How people's money incentives sway following instructions,1,NA
