id,treat,code_pay,role,group,hidden_number,report1,report2,report3,belief1,belief2,belief3,belief_observed,observed,start_time,chosen_card,gender,ethnicity,race,age,education,state,income,q1,q2,q3
1,NO2,zi83sgrxdpgthewq,P1,7548441065,10,30,,,,28,,,,2018-08-03 19:23:56.653319+00:00,68,Male,Non hispanic,White,41,Some college,38,"$10,000 - $19,999",see if people lie for bigger bonus,1,bigger bonus
2,NO2,ej6a5jp2dpgthewq,P1,5731152218,13,13,,,,13,,,,2018-08-03 19:35:53.105881+00:00,70,Female,Non hispanic,White,29,College diploma,33,"< $10,000",I'm really not sure? I guess to see if people try to get more money?,3,"I really appreciated being able to show the instructions on the quiz screen and that we get two chances to answer all the questions correctly. But it did seem like a lot of reading for such a simple task? I don't know, maybe that's part of it but it just was a little difficult to get through since some of the information seemed irrelevant to actually performing the task."
3,NO2,4po98hfadpgthewq,P1,2708601318,10,10,,,,10,,,,2018-08-03 19:41:52.586624+00:00,97,Male,Non hispanic,White,28,Masters degree,10,"$150,000 - $199,999",they make decisions about how other people play,1,focusing more on the things we do
4,NO2,edbnjxd9dpgthewq,P1,5485536744,8,10,,,,10,,,,2018-08-03 20:15:04.418466+00:00,67,Male,Non hispanic,White,33,College diploma,5,"$50,000 - $59,999",The goal is to see if two participants will remain honest in their work when there is incentive to falsify and there is no oversight,3,Have a video demonstration of how the game works
5,NO2,symmwnhndpgthewq,P1,3210362324,26,26,,,,26,,,,2018-08-03 20:18:50.109057+00:00,42,Male,Non hispanic,White,29,College diploma,5,"$70,000 - $79,999",none,1,none
6,NO2,8buuwincdpgthewq,P1,2932336063,10,16,,,,16,,,,2018-08-03 20:36:30.236034+00:00,106,Male,Non hispanic,White,25,College diploma,44,"$30,000 - $39,999",To see if we would be honest in communicating to other people.,1,"I don't think it could have been improved, the instructions were clear and easy to use."
7,NO2,3w3kv70hdpgthewq,P1,3114667393,10,10,,,,18,,,,2018-08-03 20:36:42.892590+00:00,65,Male,Non hispanic,White,30,High school or equivalent,43,"$30,000 - $39,999",The goal is to send a number to the other player to have them report a higher number so that both parties get paid more.,3,The instructions were a bit unclear. Saying that P1 will report on the number to P2 but P2 cannot see the hidden number... what number do they see? If I report the number.. but they can't see the hidden number....
8,NO2,u1af9gredpgthewq,P1,8125196507,10,10,,,,10,,,,2018-08-03 20:50:51.851788+00:00,29,Male,Non hispanic,Hispanic/Latino/Latina,25,College diploma,5,"$40,000 - $49,999",Maybe studying honesty in work groups.,2,I thought it was very okay. An increase in payment is always welcome.
9,NO2,gy455p8edpgthewq,P1,8724149925,8,8,,,,8,,,,2018-08-03 21:19:08.328852+00:00,118,Male,Non hispanic,White,41,College diploma,43,"$40,000 - $49,999",A game of honesty.,1,N/A
10,NO2,9sw0dwl2dpgthewq,P1,6252496439,25,25,,,,25,,,,2018-08-03 21:28:12.998993+00:00,56,Female,Non hispanic,White,30,Some college,43,"$30,000 - $39,999",I am not sure,3,"It was okay, maybe reporting bonuses?"
11,NO2,sckqeqm0dpgthewq,P1,3036911835,8,8,,,,8,,,,2018-08-03 23:50:30.277108+00:00,83,Male,Non hispanic,White,40,Masters degree,5,"$60,000 - $69,999",To determine the honesty of participants (strangers) as well as their trust of each other.,3,Maybe offer 10 cents bonus per unit instead of 5?
12,NO2,gfzd03a2dpgthewq,P1,3968094877,10,10,,,,10,,,,2018-08-03 23:52:29.830016+00:00,46,Male,Non hispanic,White,37,College diploma,30,"$20,000 - $29,999",To see if we think people can be trusted and if people will cheat or get the most they can if they are able to.,3,everything was fine
13,NO2,p1ywx0amdpgthewq,P1,9759126054,7,20,,,,10,,,,2018-08-03 23:56:44.173153+00:00,55,Male,Non hispanic,Hispanic/Latino/Latina,21,High school or equivalent,18,"$70,000 - $79,999",none,2,no
14,NO2,yo4hjdd9dpgthewq,P1,9755373976,12,20,,,,20,,,,2018-08-04 00:00:09.812917+00:00,54,Female,Non hispanic,Asian,34,College diploma,43,"$20,000 - $29,999",The goal is about opinion of other player in a team and decision making.,1,It is already better.
15,NO2,vwgj1zubdpgthewq,P1,3670006807,21,21,,,,27,,,,2018-08-04 00:07:10.650724+00:00,40,Male,Non hispanic,White,64,Some college,6,"$50,000 - $59,999","The goal is to earn as much money as possible. I believe the answer doesn't matter if it's the right one, but the highest possible number P2 reports is what matters. I think P2 will report the number 30.",3,Nothing.
16,NO2,n18d885hdpgthewq,P1,6754573004,10,10,,,,10,,,,2018-08-04 00:55:55.082093+00:00,36,Female,Non hispanic,White,47,Masters degree,1,"$30,000 - $39,999",To find out if people will cheat when given an opportunity to do so.,2,None
17,NO2,khuuwpgzdpgthewq,P1,6252255930,8,8,,,,10,,,,2018-08-04 01:04:24.203435+00:00,144,Male,Non hispanic,Black/African American,35,College diploma,27,"$70,000 - $79,999",THE CHOICES PEOPLE MAKE.,2,IT WAS GREAT
18,NO2,pya4wkqjdpgthewq,P1,4560814761,7,7,,,,7,,,,2018-08-04 01:13:05.207675+00:00,55,Female,Non hispanic,White,27,College diploma,20,"$60,000 - $69,999","I honestly have no idea, because the game is confusing. I am not sure what the objective of the game is... I was P1 and I was supposed to pick a card and then tell P2 what I got. P2 can only see what I said... so was I supposed to say a higher number to get more money? That wasn't clear. This survey was very strict with getting the rules correct I was afraid to break them to actually play the game for fear of getting the HIT rejected.",4,Make the game less confusing or make it less punitive in your wording so participants feel inclined to play the game strategically.
19,NO2,xgl13ulddpgthewq,P1,4680107961,7,7,,,,14,,,,2018-08-04 01:33:24.243701+00:00,33,Female,Non hispanic,White,28,Masters degree,14,"$50,000 - $59,999",I don't know...,3,N/A
20,NO2,aln4noh5dpgthewq,P1,5250079998,11,11,,,,11,,,,2018-08-04 01:38:06.438200+00:00,69,Female,Non hispanic,White,27,College diploma,30,"$50,000 - $59,999","I would describe it as honesty. I could be lying to my partner about the hidden number, and they would have to trust me.",1,N/A
21,NO2,gu6s30u7dpgthewq,P1,5241909557,8,8,,,,30,,,,2018-08-04 01:39:35.431410+00:00,12,Female,Non hispanic,Black/African American,39,Masters degree,30,"$70,000 - $79,999",the goal is to relay the number that i drew to the other player. the number that the other player will report will be multiplied by 5 which will be our bonus in cents.,3,"this is a very interesting experience, testing us to lie to get a higher bonus."
22,NO2,vm2iz4wqdpgthewq,P1,2201775881,8,8,,,,5,,,,2018-08-04 01:42:07.315660+00:00,67,Male,Non hispanic,White,40,College diploma,30,"$60,000 - $69,999",I believe that it is too see how would a person report something that they got from another person. It is shown by how p2 is supposed to report the number that me (P1) got.,1,"Your survey experience was perfect, you first explained the task, then you asked questions to make sure that we understood it, and then we got wright into the task. I believe that it is perfect, and doesn't need improvements."
23,NO2,2comby4cdpgthewq,P1,7010764898,14,14,,,,14,,,,2018-08-04 01:50:30.421016+00:00,66,Male,Non hispanic,White,51,Some college,38,"$40,000 - $49,999","You pick a sqare and see what it is. You will either send this number to P2 or pick another number from the board. P2 will then pick the final number, it will either be yours you sent or another number. You both then get that number times 5.",2,Don't see anything to add
24,NO2,zxu09o27dpgthewq,P1,7070567709,14,14,,,,14,,,,2018-08-04 01:50:52.525343+00:00,66,Female,Non hispanic,White,38,Some college,18,"$40,000 - $49,999",How well two people play a game and whether they are truthful about the numbers they report.,2,I think it is a fine survey. I enjoyed it.
25,NO2,20gc6b57dpgthewq,P1,7588789934,8,8,,,,10,,,,2018-08-04 02:05:32.028504+00:00,12,Female,Non hispanic,Hispanic/Latino/Latina,44,Some college,18,"$70,000 - $79,999",Try to maximize your profit carefully,2,I felt instructions was easy to understand. No improvement needed
26,NO2,gc8sc05idpgthewq,P1,9458489348,14,14,,,,14,,,,2018-08-04 02:07:31.934103+00:00,66,Male,Non hispanic,Hispanic/Latino/Latina,22,College diploma,10,"$30,000 - $39,999",I would say that it is to pass messages of a secret number along to each other without screwing up an accurate understanding of the number.,2,Explained whether it still pays exactly the same if I or P2 decide to write a number greater than the pulled number.
27,NO2,3f167wbcdpgthewq,P1,6557527309,7,30,,,,30,,,,2018-08-04 02:16:52.457580+00:00,80,Female,Non hispanic,White,23,College diploma,50,"$40,000 - $49,999",I think the goal of this study is to see if people follow instructions or do what is best for them,1,Nothing to improve on. This was very thought provoking
28,NO2,22hjjg7xdpgthewq,P1,2163621223,12,12,,,,14,,,,2018-08-04 02:50:12.677028+00:00,54,Female,Non hispanic,Black/African American,23,College diploma,35,"$20,000 - $29,999",How well two complete strangers trust each other when money becomes a part.,4,N/A
29,NO2,af42i4zfdpgthewq,P1,5965343869,9,9,,,,21,,,,2018-08-04 13:21:48.552946+00:00,57,Male,Hispanic,White,24,Some college,32,"$50,000 - $59,999","The goal of this study is to see how people react in the face of potential income, find out if they are more likely than not to report the right amount or increase for their personal interest.",2,"The instructions were very clear and everything was laid out, there wasn't anything in particular that had to be improved."
30,NO2,4si4i0fzdpgthewq,P1,3048704209,12,30,,,,30,,,,2018-08-04 13:35:10.503483+00:00,105,Male,Non hispanic,White,43,College diploma,30,"$100,000 - $119,999",Getting P2 to send back a number as high as possible to make your bonus as high as possible.,2,I think you did a very good job!
