id,treat,code_pay,role,group,hidden_number,report1,report2,report3,belief1,belief2,belief3,belief_observed,observed,start_time,chosen_card,gender,ethnicity,race,age,education,state,income,q1,q2,q3
1,FRST3,it2ufujq19s1v229,P1,3630154851,7,30,,,,,,,,2018-08-03 17:32:25.776038+00:00,33,Female,Non hispanic,White,34,College diploma,32,"$20,000 - $29,999",To see how people report things considering a money reward is being offered,4,I cant think of anything
2,FRST3,xt1t32ax19s1v229,P1,1938160896,20,20,,,,,,,,2018-08-03 17:53:36.380807+00:00,47,Male,Non hispanic,Black/African American,22,College diploma,20,"$10,000 - $19,999",Study how people report numbers when their earning is determined the number,2,Well design survey
3,FRST3,fvkyc9cs19s1v229,P1,6947808731,3,30,,,,,,,,2018-08-03 18:08:16.053380+00:00,32,Female,Non hispanic,Black/African American,25,College diploma,24,"$50,000 - $59,999",To try and pick a high number from face down cards,2,Saying which answers were wrong in the quiz
4,FRST3,e00c8d7h19s1v229,P1,1034467624,9,30,,,,,,,,2018-08-03 19:45:32.413645+00:00,79,Male,Non hispanic,White,30,College diploma,24,"$30,000 - $39,999",How honest we are in anonymous settings.,2,Instructions can be a bit simplified.
5,FRST3,ok9qikl919s1v229,P1,2089228338,7,7,,,,,,,,2018-08-03 19:49:15.362824+00:00,71,Male,Non hispanic,White,36,Some college,7,"$40,000 - $49,999",if the other players would trust the information they are being given,3,was great
6,FRST3,m5p2re0t19s1v229,P1,2710413478,10,10,,,,,,,,2018-08-03 20:18:55.055673+00:00,29,Female,Non hispanic,White,50,Some college,6,"$50,000 - $59,999",its real tempting,2,its great
7,FRST3,perb0nja19s1v229,P1,9262692452,7,7,,,,,,,,2018-08-03 20:23:06.515936+00:00,80,Male,Non hispanic,White,59,High school or equivalent,33,"$80,000 - $99,999","It appears to be a test of the honesty of the person selected as ""P1"" to see if they accurately report the number that was chosen or they try to inflate their earnings by reported a larger number.",4,I had no problems or complaints with the survey and it all worked as it was intended for me so I really do not have any suggestions.
8,FRST3,y94e04bl19s1v229,P1,4024506828,2,30,,,,,,,,2018-08-03 20:39:12.587410+00:00,76,Male,Hispanic,Asian,28,Some college,13,"$10,000 - $19,999",To randomly choose a number and then report the number,3,its good
9,FRST3,jvn6vssh19s1v229,P1,5905072759,6,6,,,,,,,,2018-08-03 20:45:55.705880+00:00,15,Male,Non hispanic,White,32,High school or equivalent,10,"$30,000 - $39,999",to help out the other players or to hide the number for your own gain,3,Nothing it was great
10,FRST3,b4g2xi5719s1v229,P1,3462410302,1,1,,,,,,,,2018-08-03 21:14:19.188559+00:00,1,Male,Non hispanic,White,34,High school or equivalent,43,"$20,000 - $29,999",A lot of attention and care with the numbers,1,"If the instructions had been easier, the game would be easier"
11,FRST3,rmnyx9sw19s1v229,P1,4095880988,8,8,,,,,,,,2018-08-03 22:14:56.448091+00:00,144,Female,Non hispanic,White,60,College diploma,37,"$30,000 - $39,999",I pick a number.  The other people do not do anything.  They get a bonus of the number x 5,4,Just a bit boring
12,FRST3,3u6xbyrn19s1v229,P1,2208466397,10,20,,,,,,,,2018-08-03 22:28:14.036821+00:00,29,Male,Non hispanic,White,23,High school or equivalent,5,"$20,000 - $29,999","I would tell them just to pick the highest number they can because the random draw from the card does not seem to matter, it only matter what you report it seems",1,"I saw you got a red rating but I honestly had no issues was this as it was very short to me, but maybe make the instructions simpler for others that gave it a bad rating or make them more condensed."
13,FRST3,0kg5q9c719s1v229,P1,9191058992,6,6,,,,,,,,2018-08-04 00:39:03.252239+00:00,78,Female,Non hispanic,White,33,Professional post-secondary degree or doctoral degree,20,"$80,000 - $99,999","To see whether the player designated P1 would honestly report the hidden number, or report a higher number, knowing that their potential bonus was larger with a larger hidden number.",4,By giving everyone the maximum possible bonus regardless of honesty their reporting :)
14,FRST3,4fxq1as519s1v229,P1,6675129932,10,30,,,,,,,,2018-08-04 00:55:57.732125+00:00,59,Male,Non hispanic,White,41,High school or equivalent,18,"$20,000 - $29,999",Report the hidden number.,3,I think it is fine how it is.
15,FRST3,6tc7x17f19s1v229,P1,4595193272,15,15,,,,,,,,2018-08-04 01:06:56.980653+00:00,6,Male,Non hispanic,White,25,College diploma,10,"$40,000 - $49,999",Choose wisely what is the possibility of finding the highest number to have a greater gain of the cards.,2,"You could have improved this survey explaining very well the details, since there is one last question in the questionnaire which was not well specified, as when I say a final message with a number which was not given to me in the cards that would be lying, so that part was a bit confusing explaining it would be a little better to make a less forced choice."
16,FRST3,61qr3f6x19s1v229,P1,7473476962,22,22,,,,,,,,2018-08-04 01:35:17.905507+00:00,39,Male,Non hispanic,White,31,Some college,47,"$20,000 - $29,999",See if people would lie to provide others with more money?,2,"Had to read the instructions a few times, but I got it after reading it twice."
17,FRST3,dzl9wln819s1v229,P1,3621001022,7,25,,,,,,,,2018-08-04 01:46:05.188454+00:00,55,Female,Non hispanic,White,61,Some college,13,"$10,000 - $19,999",a game in which you can cheat to get ahead,1,"couldn't have, it was good"
18,FRST3,rr8xd6ec19s1v229,P1,9949334282,8,20,,,,,,,,2018-08-04 02:17:28.530824+00:00,67,Female,Hispanic,White,18,Some college,3,"< $10,000",to see if you could understand and read directions clearly,1,It was a good survey overall
